id	initL	initR	finalL	finalR	message (DEL=deleted NOC=no change MOD=modified)
384	0	9128	35	8939	MOD	skipped 0 overlaps; used 74 overlaps
385	0	15094	131	13779	MOD	skipped 0 overlaps; used 37 overlaps
386	0	6131	5	6130	MOD	skipped 0 overlaps; used 81 overlaps
387	0	1115	42	1072	MOD	skipped 0 overlaps; used 16 overlaps
388	0	6678	0	6668	MOD	skipped 0 overlaps; used 29 overlaps
389	0	27718	311	27718	MOD	skipped 0 overlaps; used 79 overlaps
390	0	2110	0	2104	MOD	skipped 0 overlaps; used 20 overlaps
391	0	3580	21	3572	MOD	skipped 0 overlaps; used 26 overlaps
392	0	4042	12	4018	MOD	skipped 0 overlaps; used 18 overlaps
393	0	4954	157	4953	MOD	skipped 0 overlaps; used 25 overlaps
394	0	16592	61	16591	MOD	skipped 0 overlaps; used 44 overlaps
395	0	1552	936	1537	DEL	skipped 0 overlaps; used 18 overlaps
396	0	24054	129	24008	MOD	skipped 0 overlaps; used 228 overlaps
